price,space,room,bedroom,furniture,latitude,longitude,city_area,floor,max_floor,apartment_type,renovation_type,balcony
250400,81,4,3,0,41.7704323,44.7748777,Didube District,5,15,new,newly renovated,1
267500,107,4,0,0,41.7659669,44.7925615,Nadzaladevi District,7,10,new,newly renovated,1
130000,66,3,2,0,41.7659669,44.7925615,Nadzaladevi District,2,16,new,black frame,1
219100,70,3,2,0,41.70205225,44.77888962,Mtatsminda District,3,6,new,white frame,1
126000,61.79,3,2,0,41.7659669,44.7925615,Nadzaladevi District,3,10,new,black frame,0
180000,88,4,0,0,41.7659669,44.7925615,Nadzaladevi District,5,16,new,black frame,1
221000,10800,4,3,0,41.7659669,44.7925615,Nadzaladevi District,13,16,new,black frame,1
227800,112,4,2,0,41.7659669,44.7925615,Nadzaladevi District,2,16,new,black frame,1
148300,70,3,2,0,41.7261425,44.792904,Didube District,1,3,old,newly renovated,1
395400,81,2,1,0,41.7091395,44.7616907,Vake District,7,10,new,newly renovated,1
191100,72,3,2,1,41.725054,44.7545015,Saburtalo District,5,5,old,newly renovated,1
270200,63,2,1,0,41.7065248,44.7824697,Mtatsminda District,2,2,old,newly renovated,1
78900,42,2,1,0,41.7613081,44.78973012,Nadzaladevi District,5,9,construct,white frame,1
1054400,130,3,2,1,41.7394206,44.75660209,Saburtalo District,5,5,new,newly renovated,1
181200,87,4,2,0,41.7261425,44.792904,Didube District,5,5,old,not renovated,0
138400,53,3,2,1,41.79257622,44.73969025,Saburtalo District,8,14,new,newly renovated,1
130200,54,2,1,0,41.7679459,44.7677435,Saburtalo District,5,12,new,newly renovated,1
158200,69,2,1,0,41.7364242,44.7822534,Didube District,6,8,old,old renovation,0
306400,93,3,2,1,41.7063438,44.7747358,Vake District,3,12,new,newly renovated,1
